transaction_id,date,department,expense_category,vendor,amount_inr,cost_center,approved_by,description
TXN01107,2025-04-21,Maintenance,Training & Seminars,IIM Institute,18800.0,CC-MAI-2,EMP1017,Training & Seminars - routine maintenance expense
TXN01410,2025-04-21,Logistics,Utilities,State Electricity Board,122400.0,CC-LOG-2,EMP1043,Utilities - routine logistics expense
TXN00718,2025-04-21,Production,Equipment Maintenance,BHEL,82300.0,CC-PRO-2,EMP1044,Equipment Maintenance - routine production expense
TXN00307,2025-04-22,Production,Catering & Hospitality,Taj Catering Services,30100.0,CC-PRO-3,EMP1008,Catering & Hospitality - routine production expense
TXN01811,2025-04-22,Production,IT Services & Software,Local IT Vendor,37000.0,CC-PRO-2,EMP1016,IT Services & Software - routine production expense (possible duplicate)
TXN01153,2025-04-22,IT,IT Services & Software,Wipro,311200.0,CC-IT-2,EMP1004,IT Services & Software - routine it expense
TXN00584,2025-04-22,Logistics,Contractor Payment,Tata Projects,1062500.0,CC-LOG-2,EMP1018,Contractor Payment - routine logistics expense
TXN00768,2025-04-22,HSE,Travel & Conveyance,IRCTC,28500.0,CC-HSE-1,EMP1006,Travel & Conveyance - routine hse expense
TXN00563,2025-04-23,Production,Catering & Hospitality,Taj Catering Services,17700.0,CC-PRO-1,EMP1049,Catering & Hospitality - routine production expense
TXN00765,2025-04-23,Admin,Office Supplies,Local Stationery Mart,5800.0,CC-ADM-3,EMP1024,Office Supplies - routine admin expense
TXN01040,2025-04-23,HR,Office Supplies,Local Stationery Mart,11900.0,CC-HR-1,EMP1002,Office Supplies - routine hr expense
TXN01308,2025-04-24,HR,Office Supplies,Local Stationery Mart,1400.0,CC-HR-1,EMP1031,Office Supplies - routine hr expense
TXN01648,2025-04-24,Drilling,IT Services & Software,TCS,196400.0,CC-DRI-3,EMP1031,IT Services & Software - routine drilling expense
TXN01512,2025-04-24,Procurement,Fuel & POL,IndianOil Corp,61800.0,CC-PRO-2,EMP1044,Fuel & POL - routine procurement expense
TXN00680,2025-04-25,Procurement,Training & Seminars,Internal Training Cell,78500.0,CC-PRO-2,EMP1000,Training & Seminars - routine procurement expense
TXN01559,2025-04-25,HSE,Office Supplies,Staples India,9100.0,CC-HSE-1,EMP1033,Office Supplies - routine hse expense
TXN00627,2025-04-25,Finance,Training & Seminars,Internal Training Cell,7000.0,CC-FIN-2,EMP1029,Training & Seminars - routine finance expense
TXN01604,2025-04-25,HSE,Catering & Hospitality,Local Caterers Assoc,12800.0,CC-HSE-1,EMP1003,Catering & Hospitality - routine hse expense
TXN00737,2025-04-26,Procurement,Travel & Conveyance,IRCTC,2600.0,CC-PRO-2,EMP1036,Travel & Conveyance - routine procurement expense
TXN01285,2025-04-26,Production,Travel & Conveyance,IRCTC,26800.0,CC-PRO-2,EMP1027,Travel & Conveyance - routine production expense
TXN00322,2025-04-26,Maintenance,Catering & Hospitality,Local Caterers Assoc,43500.0,CC-MAI-1,EMP1004,Catering & Hospitality - routine maintenance expense
TXN01043,2025-04-26,Production,Contractor Payment,Local Contractor Pvt Ltd,156000.0,CC-PRO-1,EMP1043,Contractor Payment - routine production expense
TXN01487,2025-04-26,IT,Office Supplies,Local Stationery Mart,5500.0,CC-IT-1,EMP1036,Office Supplies - routine it expense
TXN00694,2025-04-26,Procurement,Travel & Conveyance,IRCTC,24600.0,CC-PRO-3,EMP1003,Travel & Conveyance - routine procurement expense
TXN01232,2025-04-27,Logistics,Catering & Hospitality,Taj Catering Services,38500.0,CC-LOG-2,EMP1024,Catering & Hospitality - routine logistics expense
TXN01230,2025-04-27,HSE,Utilities,Municipal Water Dept,96300.0,CC-HSE-2,EMP1046,Utilities - routine hse expense
TXN00503,2025-04-27,Logistics,Office Supplies,Staples India,11100.0,CC-LOG-2,EMP1017,Office Supplies - routine logistics expense
TXN01711,2025-04-27,IT,Equipment Maintenance,Larsen & Toubro,530000.0,CC-IT-3,EMP1011,Equipment Maintenance - routine it expense
TXN01136,2025-04-28,Drilling,IT Services & Software,Local IT Vendor,249200.0,CC-DRI-3,EMP1045,IT Services & Software - routine drilling expense
TXN01815,2025-04-28,Procurement,Training & Seminars,Internal Training Cell,78500.0,CC-PRO-2,EMP1000,Training & Seminars - routine procurement expense (possible duplicate)
TXN00633,2025-04-28,Admin,Travel & Conveyance,Air India,13200.0,CC-ADM-3,EMP1036,Travel & Conveyance - routine admin expense
TXN00045,2025-04-28,Drilling,Office Supplies,Staples India,11600.0,CC-DRI-1,EMP1020,Office Supplies - routine drilling expense
TXN00758,2025-04-28,Finance,Training & Seminars,Internal Training Cell,13400.0,CC-FIN-3,EMP1003,Training & Seminars - routine finance expense
TXN01085,2025-04-29,Drilling,Utilities,State Electricity Board,28000.0,CC-DRI-1,EMP1016,Utilities - routine drilling expense
TXN01705,2025-04-29,Production,Equipment Maintenance,Larsen & Toubro,219600.0,CC-PRO-2,EMP1044,Equipment Maintenance - routine production expense
TXN01033,2025-04-29,Logistics,Travel & Conveyance,IRCTC,20200.0,CC-LOG-1,EMP1016,Travel & Conveyance - routine logistics expense
TXN01534,2025-04-29,Logistics,Office Supplies,Staples India,10600.0,CC-LOG-1,EMP1004,Office Supplies - routine logistics expense
TXN01673,2025-04-29,Admin,Training & Seminars,Internal Training Cell,66300.0,CC-ADM-2,EMP1008,Training & Seminars - routine admin expense
TXN01081,2025-04-29,Finance,Utilities,State Electricity Board,26900.0,CC-FIN-1,EMP1039,Utilities - routine finance expense
TXN00813,2025-04-30,HR,IT Services & Software,TCS,152100.0,CC-HR-3,EMP1030,IT Services & Software - routine hr expense
TXN01315,2025-04-30,Procurement,Catering & Hospitality,Local Caterers Assoc,56600.0,CC-PRO-1,EMP1009,Catering & Hospitality - routine procurement expense
TXN01091,2025-04-30,Finance,Utilities,Municipal Water Dept,159100.0,CC-FIN-3,EMP1048,Utilities - routine finance expense
TXN00906,2025-05-01,IT,Office Supplies,Local Stationery Mart,3500.0,CC-IT-1,EMP1013,Office Supplies - routine it expense
TXN01028,2025-05-02,IT,Travel & Conveyance,IRCTC,5700.0,CC-IT-1,EMP1017,Travel & Conveyance - routine it expense
TXN01482,2025-05-02,Procurement,Utilities,State Electricity Board,65700.0,CC-PRO-3,EMP1011,Utilities - routine procurement expense
TXN01182,2025-05-02,HSE,Contractor Payment,Reliance Infra Services,1829600.0,CC-HSE-2,EMP1021,Contractor Payment - routine hse expense
TXN00161,2025-05-02,Admin,Utilities,Municipal Water Dept,24800.0,CC-ADM-3,EMP1020,Utilities - routine admin expense
TXN00897,2025-05-03,Procurement,Contractor Payment,Tata Projects,453600.0,CC-PRO-3,EMP1004,Contractor Payment - routine procurement expense
TXN00263,2025-05-03,HR,Fuel & POL,IndianOil Corp,248400.0,CC-HR-3,EMP1040,Fuel & POL - routine hr expense
TXN00195,2025-05-03,Procurement,Travel & Conveyance,Local Taxi Union,42800.0,CC-PRO-2,EMP1038,Travel & Conveyance - routine procurement expense
TXN00294,2025-05-04,Procurement,Travel & Conveyance,IRCTC,38100.0,CC-PRO-2,EMP1017,Travel & Conveyance - routine procurement expense
TXN01520,2025-05-04,Procurement,Catering & Hospitality,Taj Catering Services,56100.0,CC-PRO-1,EMP1040,Catering & Hospitality - routine procurement expense
TXN01248,2025-05-04,Finance,Equipment Maintenance,Larsen & Toubro,288500.0,CC-FIN-1,EMP1011,Equipment Maintenance - routine finance expense
TXN00752,2025-05-04,HSE,Travel & Conveyance,Local Taxi Union,23200.0,CC-HSE-3,EMP1012,Travel & Conveyance - routine hse expense
TXN01009,2025-05-04,HR,Equipment Maintenance,Larsen & Toubro,320000.0,CC-HR-2,EMP1009,Equipment Maintenance - routine hr expense
TXN00074,2025-05-04,Procurement,Travel & Conveyance,Local Taxi Union,22900.0,CC-PRO-1,EMP1020,Travel & Conveyance - routine procurement expense
TXN01680,2025-05-05,Logistics,Office Supplies,Staples India,7200.0,CC-LOG-2,EMP1038,Office Supplies - routine logistics expense
TXN00375,2025-05-05,Production,Utilities,Municipal Water Dept,86800.0,CC-PRO-1,EMP1010,Utilities - routine production expense
TXN00060,2025-05-05,Procurement,Contractor Payment,Reliance Infra Services,284300.0,CC-PRO-2,EMP1045,Contractor Payment - routine procurement expense
TXN01358,2025-05-05,HSE,Training & Seminars,IIM Institute,66200.0,CC-HSE-2,EMP1032,Training & Seminars - routine hse expense
TXN00051,2025-05-05,Production,Contractor Payment,Local Contractor Pvt Ltd,103900.0,CC-PRO-3,EMP1021,Contractor Payment - routine production expense
TXN00855,2025-05-06,Production,Travel & Conveyance,Air India,18800.0,CC-PRO-1,EMP1025,Travel & Conveyance - routine production expense
TXN00679,2025-05-06,Procurement,Utilities,State Electricity Board,146200.0,CC-PRO-1,EMP1036,Utilities - routine procurement expense
TXN00324,2025-05-06,Admin,Utilities,State Electricity Board,41500.0,CC-ADM-2,EMP1031,Utilities - routine admin expense
TXN00159,2025-05-07,Finance,Contractor Payment,Local Contractor Pvt Ltd,1322900.0,CC-FIN-2,EMP1031,Contractor Payment - routine finance expense
TXN01666,2025-05-07,Finance,Fuel & POL,IndianOil Corp,227500.0,CC-FIN-3,EMP1016,Fuel & POL - routine finance expense
TXN01381,2025-05-07,Drilling,Travel & Conveyance,IRCTC,13600.0,CC-DRI-2,EMP1026,Travel & Conveyance - routine drilling expense
TXN01443,2025-05-07,Procurement,Catering & Hospitality,Local Caterers Assoc,52700.0,CC-PRO-2,EMP1023,Catering & Hospitality - routine procurement expense
TXN00213,2025-05-08,Procurement,Catering & Hospitality,Taj Catering Services,50700.0,CC-PRO-2,EMP1003,Catering & Hospitality - routine procurement expense
TXN00118,2025-05-08,Procurement,IT Services & Software,TCS,327100.0,CC-PRO-2,EMP1005,IT Services & Software - routine procurement expense
TXN01295,2025-05-08,IT,Training & Seminars,NIIT,14400.0,CC-IT-1,EMP1016,Training & Seminars - routine it expense
TXN01463,2025-05-08,IT,Catering & Hospitality,Local Caterers Assoc,33000.0,CC-IT-3,EMP1034,Catering & Hospitality - routine it expense
TXN00158,2025-05-08,Finance,Utilities,State Electricity Board,95900.0,CC-FIN-3,EMP1036,Utilities - routine finance expense
TXN01612,2025-05-08,HSE,Catering & Hospitality,Local Caterers Assoc,5000.0,CC-HSE-1,EMP1029,Catering & Hospitality - routine hse expense
TXN01283,2025-05-08,Maintenance,Office Supplies,Staples India,4000.0,CC-MAI-3,EMP1020,Office Supplies - routine maintenance expense
TXN01622,2025-05-09,Procurement,Equipment Maintenance,Larsen & Toubro,453000.0,CC-PRO-3,EMP1023,Equipment Maintenance - routine procurement expense
TXN01813,2025-05-09,Finance,Contractor Payment,Local Contractor Pvt Ltd,1322900.0,CC-FIN-2,EMP1031,Contractor Payment - routine finance expense (possible duplicate)
TXN00474,2025-05-09,HR,Travel & Conveyance,Local Taxi Union,42600.0,CC-HR-3,EMP1018,Travel & Conveyance - routine hr expense
TXN00721,2025-05-09,IT,Catering & Hospitality,Taj Catering Services,41000.0,CC-IT-1,EMP1019,Catering & Hospitality - routine it expense
TXN00194,2025-05-10,HR,Fuel & POL,IndianOil Corp,247100.0,CC-HR-1,EMP1023,Fuel & POL - routine hr expense
TXN00315,2025-05-10,Drilling,Office Supplies,Staples India,1000.0,CC-DRI-3,EMP1020,Office Supplies - routine drilling expense
TXN01037,2025-05-10,Admin,Contractor Payment,Local Contractor Pvt Ltd,1743700.0,CC-ADM-1,EMP1041,Contractor Payment - routine admin expense
TXN01780,2025-05-10,Logistics,Equipment Maintenance,Schlumberger,572000.0,CC-LOG-2,EMP1024,Equipment Maintenance - routine logistics expense
TXN01421,2025-05-10,IT,Catering & Hospitality,Local Caterers Assoc,27900.0,CC-IT-3,EMP1011,Catering & Hospitality - routine it expense
TXN01736,2025-05-10,Drilling,Contractor Payment,Reliance Infra Services,1679400.0,CC-DRI-3,EMP1012,Contractor Payment - routine drilling expense
TXN01801,2025-05-11,IT,Catering & Hospitality,Local Caterers Assoc,33000.0,CC-IT-3,EMP1034,Catering & Hospitality - routine it expense (possible duplicate)
TXNOS002,2025-05-11,Maintenance,Equipment Maintenance,Local Workshop Co,571700.0,CC-MAI-1,EMP1012,Equipment Maintenance - recurring high-cost vendor
TXN00942,2025-05-11,Drilling,Equipment Maintenance,Larsen & Toubro,598100.0,CC-DRI-1,EMP1003,Equipment Maintenance - routine drilling expense
TXN01110,2025-05-11,Logistics,Utilities,State Electricity Board,45700.0,CC-LOG-2,EMP1043,Utilities - routine logistics expense
TXN00621,2025-05-11,Production,Equipment Maintenance,Schlumberger,409100.0,CC-PRO-3,EMP1020,Equipment Maintenance - routine production expense
TXN01588,2025-05-11,Admin,Equipment Maintenance,Larsen & Toubro,550700.0,CC-ADM-3,EMP1046,Equipment Maintenance - routine admin expense
TXN01251,2025-05-11,Logistics,Fuel & POL,IndianOil Corp,170200.0,CC-LOG-2,EMP1045,Fuel & POL - routine logistics expense
TXN00573,2025-05-11,HSE,Equipment Maintenance,Larsen & Toubro,162100.0,CC-HSE-1,EMP1004,Equipment Maintenance - routine hse expense
TXN01593,2025-05-11,Finance,Travel & Conveyance,Air India,27900.0,CC-FIN-2,EMP1025,Travel & Conveyance - routine finance expense
